numRows,numCols,totalImps,brokenImps,updateTime,naiveUpdateTime
12,12,277,17,9,59
12,9,89,10,1,5
11,11,158,16,7,29
11,11,179,14,4,20
12,12,253,30,10,52
12,11,240,5,11,34
12,11,181,27,7,29
11,11,195,19,6,25
12,12,279,10,9,42
12,12,268,7,13,51
12,11,239,18,1,23
12,11,213,25,0,22
12,10,161,16,6,19
11,12,371,9,21,79
12,11,236,23,14,74
11,12,332,48,5,58
11,10,70,11,2,4
12,10,74,3,2,3
11,11,158,3,7,13
11,12,184,19,2,27
11,10,112,21,2,10
12,12,337,38,12,90
12,11,154,15,4,16
12,10,143,7,6,15
12,12,315,6,20,55
11,11,172,21,3,16
11,11,193,20,2,20
11,11,147,5,2,12
12,12,290,23,4,54
12,11,151,33,3,18
12,11,218,0,11,26
12,11,212,10,9,35
11,10,146,19,2,15
12,12,232,28,9,48
11,11,184,14,3,23
12,12,302,22,4,32
12,12,264,8,16,15
11,11,209,40,4,32
11,11,184,24,5,23
11,10,114,19,2,11
11,11,170,20,8,33
11,11,180,21,9,24
11,11,182,19,6,25
11,12,258,14,13,49
11,12,291,33,16,73
11,11,153,9,6,18
12,11,250,21,7,43
11,12,183,8,7,23
12,11,177,4,4,10
12,11,87,5,2,3
11,15,636,41,54,415
11,12,266,7,11,42
13,13,340,19,28,100
13,12,184,17,4,26
11,12,215,11,4,27
15,13,497,43,37,271
14,14,594,65,28,235
15,13,462,12,41,141
12,13,248,21,13,50
15,12,226,13,13,41
14,12,243,10,13,43
15,13,554,17,55,240
15,11,200,14,5,23
15,13,316,5,25,69
15,11,206,29,8,36
15,11,197,18,7,30
13,10,91,17,2,5
14,12,268,25,23,68
15,14,745,91,50,472
13,15,810,88,50,533
15,11,198,6,9,30
15,12,280,27,17,70
13,13,311,15,18,71
11,10,109,10,4,10
11,15,652,32,81,394
14,15,1040,123,84,952
14,11,182,7,8,19
13,12,302,3,17,51
11,13,307,17,21,71
14,13,367,41,26,140
12,12,353,51,10,90
11,12,335,24,15,78
14,12,349,26,4,69
13,14,761,94,10,341
13,15,689,19,92,358
13,12,304,30,13,74
14,13,463,11,32,134
11,15,638,29,76,351
12,11,193,6,10,26
13,14,603,59,25,313
13,15,685,79,24,291
15,13,444,79,19,173
13,13,375,20,29,111
11,12,229,29,10,45
15,14,562,34,60,272
11,14,393,18,38,147
14,13,399,37,28,143
