numRows,numCols,totalImps,brokenImps,updateTime,naiveUpdateTime,difference,averageDifference,lessThanZero,numberLessThanZero
12,12,277,17,9,59,50,146.056,0,9
12,9,89,10,1,5,4,,0,
11,11,158,16,7,29,22,,0,
11,11,179,14,4,20,16,,0,
12,12,253,30,10,52,42,,0,
12,11,240,5,11,34,23,,0,
12,11,181,27,7,29,22,,0,
11,11,195,19,6,25,19,,0,
12,12,279,10,9,42,33,,0,
12,12,268,7,13,51,38,,0,
12,11,239,18,1,23,22,,0,
12,11,213,25,0,22,22,,0,
12,10,161,16,6,19,13,,0,
11,12,371,9,21,79,58,,0,
12,11,236,23,14,74,60,,0,
11,12,332,48,5,58,53,,0,
11,10,70,11,2,4,2,,0,
12,10,74,3,2,3,1,,0,
11,11,158,3,7,13,6,,0,
11,12,184,19,2,27,25,,0,
11,10,112,21,2,10,8,,0,
12,12,337,38,12,90,78,,0,
12,11,154,15,4,16,12,,0,
12,10,143,7,6,15,9,,0,
12,12,315,6,20,55,35,,0,
11,11,172,21,3,16,13,,0,
11,11,193,20,2,20,18,,0,
11,11,147,5,2,12,10,,0,
12,12,290,23,4,54,50,,0,
12,11,151,33,3,18,15,,0,
12,11,218,0,11,26,15,,0,
12,11,212,10,9,35,26,,0,
11,10,146,19,2,15,13,,0,
12,12,232,28,9,48,39,,0,
11,11,184,14,3,23,20,,0,
12,12,302,22,4,32,28,,0,
12,12,264,8,16,15,-1,,1,
11,11,209,40,4,32,28,,0,
11,11,184,24,5,23,18,,0,
11,10,114,19,2,11,9,,0,
11,11,170,20,8,33,25,,0,
11,11,180,21,9,24,15,,0,
11,11,182,19,6,25,19,,0,
11,12,258,14,13,49,36,,0,
11,12,291,33,16,73,57,,0,
11,11,153,9,6,18,12,,0,
12,11,250,21,7,43,36,,0,
11,12,183,8,7,23,16,,0,
12,11,177,4,4,10,6,,0,
12,11,87,5,2,3,1,,0,
11,15,636,41,54,415,361,,0,
11,12,266,7,11,42,31,,0,
13,13,340,19,28,100,72,,0,
13,12,184,17,4,26,22,,0,
11,12,215,11,4,27,23,,0,
15,13,497,43,37,271,234,,0,
14,14,594,65,28,235,207,,0,
15,13,462,12,41,141,100,,0,
12,13,248,21,13,50,37,,0,
15,12,226,13,13,41,28,,0,
14,12,243,10,13,43,30,,0,
15,13,554,17,55,240,185,,0,
15,11,200,14,5,23,18,,0,
15,13,316,5,25,69,44,,0,
15,11,206,29,8,36,28,,0,
15,11,197,18,7,30,23,,0,
13,10,91,17,2,5,3,,0,
14,12,268,25,23,68,45,,0,
15,14,745,91,50,472,422,,0,
13,15,810,88,50,533,483,,0,
15,11,198,6,9,30,21,,0,
